en-US	cs-cz	da-dk	de-at	de-ch	de-de	en-au	en-ca	en-gb	en-nz	es-es_tradnl	es-mx	fi-fi	fr-be	fr-ca	fr-ch	fr-fr	is-is	it-ch	it-it	nb-no	nl-be	nl-nl	sv-se	Description
Analysis View	Pohled analýzy	Analysevisning	Analyseansicht	Analyseansicht	Analyseansicht	Analysis View	Analysis View	Analysis View	Analysis View	Vista de análisis	Vista de análisis	Analyysinäkymä	Vue d'analyse	Vue d'analyse	Vue d'analyse	Vue d'analyse	Greiningaryfirlit	Visualizzazione analisi	Visualizzazione analisi	Analysevisning	Analyseweergave	Analyseweergave	Analysvy	"Aggregated dimension analysis snapshot (Finance). Pre-processed grouping of G/L (and sometimes item) entries by up to 4 selected dimensions to speed reporting. Must be updated; differs from on-the-fly filters."
Application Worksheet	Sešit vyrovnání	Udligningskladde	Ausgleichsarbeitsblatt	Ausgleichsarbeitsblatt	Ausgleichsarbeitsblatt	Application Worksheet	Application Worksheet	Application Worksheet	Application Worksheet	Hoja liquidación	Hoja liquidación	Kohdistustyökirja	Feuille lettrage	Feuille affectation	Feuille lettrage	Feuille lettrage	Vinnublað jöfnunar	Prospetto collegamento	Prospetto collegamento	Utligningsforslag	Vereffeningsvoorstel	Vereffeningsvoorstel	Kopplingsformulär	"Item application workspace (Inventory/Costing). Page to review and reapply item ledger entry matches (fixed or incorrect) before corrective posting. Filter by item/location/document; editable staging, not a ledger or journal."
Assembly BOM	Kusovník montáže	Montagestykliste	Montagestückliste	Montagestückliste	Montagestückliste	Assembly BOM	Assembly BOM	Assembly BOM	Assembly BOM	L.M. de ensamblado	L.M. de ensamblado	Kokoonpanon tuoterakenne	Nomenclature d'assemblage	Nomenclature d'assemblage	Nomenclature d'assemblage	Nomenclature d'élément d'assemblage	Samsetningaruppskrift	DB assemblaggio	DB assemblaggio	Monteringsstykkliste	Assemblagestuklijst	Assemblagestuklijst	Monteringsstruktur	"Bill of materials for assembly (Manufacturing/Assembly). Lists required components/resources for an assembly item; simpler than production BOM (no routing). Static definition, not transactional."
Assembly Order	Montážní zakázka	Montageordre	Montageauftrag	Montageauftrag	Montageauftrag	Assembly Order	Assembly Order	Assembly Order	Assembly Order	Pedido de ensamblado	Pedido de ensamblado	Kokoonpanotilaus	Ordre d’assemblage	Ordre d’assemblage	Ordre d’assemblage	Ordre d’assemblage	Samsetningarpöntun	Ordine di assemblaggio	Ordine di assemblaggio	Monteringsordre	Assemblageorder	Assemblageorder	Monteringsorder	"Executable assembly document (Assembly). Controls consumption of components and output of assembled item; can handle partial postings. Simpler flow than production order."
Assemble-to-Order	Montáž-na-zakázku	Montage til ordre	Programmfertigung	Programmfertigung	Programmfertigung	Assemble-to-Order	Assemble-to-Order	Assemble-to-Order	Assemble-to-Order	Ensamblar para pedido	Ensamblar para pedido	Kokoonpano tilausta varten	Assembler pour commande	Assembler pour commande	Assembler pour commande	Assembler pour commande	Setja saman í pöntun	Assemblaggio su ordine	Assemblaggio su ordine	Monter til ordre	Assembleren voor order	Assembleren voor order	Montering mot kundorder	"Fulfilment method (Assembly/Sales). Configuration where assembly is triggered by a sales order line; components reserved; supports late configuration. Not same as make-to-order production."
Bank Account	Bankovní účet	Bankkonto	Bankkonto	Bankkonto	Bankkonto	Bank Account	Bank Account	Bank Account	Bank Account	Banco	Banco	Pankkitili	Compte bancaire	Compte bancaire	Compte bancaire	Compte bancaire	Bankareikningur	C/C bancario	C/C bancario	Bankkonto	Bankrekening	Bankrekening	Bankkonto	"Master record (Finance/Cash Mgmt). Represents a company bank ledger; used for payments, reconciliation, cash flow. Keep abbreviation; singular header even in lists."
Bank Account Reconciliation	Odsouhlasení bankovního účtu	Bankkontoafstemning	Bankkontoabstimmung	Bankkontoabstimmung	Bankkontoabstimmung	Bank Account Reconciliation	Bank Account Reconciliation	Bank Account Reconciliation	Bank Account Reconciliation	Conciliación banco	Conciliación banco	Pankkitilin täsmäytys	Rapprochement bancaire	Rapprochement de compte bancaire	Rapprochement bancaire	Rapprochement bancaire	Afstemming bankareiknings	Riconciliazione C/C bancario	Riconciliazione C/C bancario	Bankkontoavstemming	Bankrekeningreconciliatie	Bankrekeningreconciliatie	Bankkontoavstämning	"Process document (Finance/Cash Mgmt). Page for matching bank statement lines to Bank Account Ledger Entries and posting differences. Distinct from Bank Reconciliation = broader process; this is the specific page/document."
Average Cost	Průměrná cena	Kostpris (gnsn.)	Einstandspreis (durchschn.)	Einstandspreis (durchschn.)	Einstandspreis (durchschn.)	Average Cost	Average Cost	Average Cost	Average Cost	Coste medio	Costo Promedio	Keskimääräinen kustannus	Coût moyen	Coût moyen	Coût moyen	Coût moyen	Meðalinnk.verð	Costo medio	Costo medio	Kostpris (gj.sn.)	Gem. ink.-prijs	Gem. ink.-prijs	Genomsnittskostnad	"Inventory valuation method (Inventory/Costing). Calculates moving weighted average per item (and location/variant if configured). Affects cost flow assumptions; not a document."
Bin Content	Obsah přihrádky	Placeringsindhold	Lagerplatzinhalt	Lagerplatzinhalt	Lagerplatzinhalt	Bin Content	Bin Content	Bin Content	Bin Content	Contenido ubicación	Contenido ubicación	Varastopaikan sisältö	Contenu emplacement	Contenu de la zone	Contenu emplacement	Contenu emplacement	Innihald hólfs	Contenuto collocazione	Contenuto collocazione	Hylleinnhold	Opslaglocatie-inhoud	Opslaglocatie-inhoud	Lagerplatsinnehåll	"Warehouse quantity snapshot (Warehouse). Record showing quantity, characteristics of an item (variant, lot, serial) in a specific bin. Not a ledger entry; reflects current state."
Bank Account Statement	Výpis bankovního účtu	Bankkontoudtog	Bankkontoauszug	Bankkontoauszug	Bankkontoauszug	Bank Account Statement	Bank Account Statement	Bank Account Statement	Bank Account Statement	Extracto cuenta banco	Estado de cuenta banco	Pankkitilin tiliote	Relevé bancaire	Relevé de compte bancaire	Relevé bancaire	Relevé bancaire	Bankareikningsyfirlit	Estratto conto bancario	Estratto conto bancario	Bankkontoutdrag	Bankrekeningafschrift	Bankrekeningafschrift	Bankkontoutdrag	External bank statement document (Finance). Imported or entered statement detailing bank transactions for reconciliation. Differs from internal Bank Ledger entries.
